FALLBACK: Unknown VHS.|Good taste.
ALVIN-AND-THE-CHIPMUNKS-A-CHIPMUNK-CHRISTMAS: Alvin And The Chipmunks A Chipmunk Christmas.|The chipmunk Christmas song. You know the one.
ALVIN-AND-THE-CHIPMUNKS-A-CHIPMUNKS-GO-TO-THE-MOVIES-ROBOMUNK: Alvin And The Chipmunks A Chipmunks Go To The Movies Robomunk.|Alvin goes to the movies. Meta.
ALYSSA-MILANOS-TEEN-STEAM: Alyssa Milanos Teen Steam.|I just work here.
AMAZING-WIPEOUTS: Amazing Wipeouts.|Sports bloopers. Good couch stuff.
AMAZONAS-MISSION: Amazonas Mission.|Action in the jungle. Gets the job done.
AMERICAN-CYBORG-STEEL-WARRIOR: American Cyborg Steel Warrior.|Van Damme-era stuff. Solid pick.
AMERICAN-JUSTICE: American Justice.|Sounds about right.
AMERICAN-NINJA-2-THE-CONFRONTATION: American Ninja 2 The Confrontation.|Good sequel. More ninjas.
AMERICAN-NINJA-3-BLOOD-HUNT: American Ninja 3 Blood Hunt.|Third one's still solid.
AMERICAN-WARRIOR-2: American Warrior 2.|American Ninja under a different name.
AMSTERDAMNED-VERSION-2: Amsterdamned Version 2.|Dutch slasher. Underrated.
AN-AMERICAN0TAIL-FIEVEL-GOES-WEST: An American0Tail Fievel Goes West.|Fievel goes west. Kids love it.
AN-INNOCENT-MAN-TOM-SELLECK-TOUCHSTONE-HOME-VIDEO: An Innocent Man Tom Selleck Touchstone Home Video.|Tom Selleck does drama. Not bad.
AND-THEN-YOU-DIE: And Then You Die.|Yeah. Then you die. Bleak title.
AND-YOU-THOUGHT-YOUR-PARENTS-WERE-WEIRD: And You Thought Your Parents Were Weird.|Better than the title suggests.
ANDRE: Andre.|The seal movie. Sweet little film.
ANGELA-LANSBURYS-POSITIVE-MOVES-WORKOUT-VIDEO: Angela Lansburys Positive Moves Workout Video.|Angela Lansbury works out. Good for her.
ANIMANIACS-HELLOOOO-HOLIDAYS: Animaniacs Helloooo Holidays.|The Animaniacs holiday one. Pretty funny.
ANIMANIACS-YOU-WILL-BUY-THIS-VIDEO: Animaniacs You Will Buy This Video.|Bold title. They weren't wrong.
ANIMORPHS-THE-INVASION-BEGINS: Animorphs The Invasion Begins.|Kids loved the books. Tape's decent.
ANOTHER-SON-OF-SAM-ACTION-EXPLOITATION: Another Son Of Sam Action Exploitation.|Exploitation stuff. Not for everyone.
AR-15-WORKOUT: Ar 15 Workout.|That's a workout tape. With an AR-15.
ARENA: Arena.|Gladiator sci-fi. Surprisingly good.
ARENA-SCIFI: Arena Scifi.|Same movie, different label.
ARMAGEDDON: Armageddon.|Big dumb fun. Works every time.
ARMED-RESPONSE: Armed Response.|Fred Williamson again. Man's prolific.
ARNOLD-SCHWARZENEGGER-IN-PUMPING-IRON: Arnold Schwarzenegger In Pumping Iron.|Before he was the Terminator. Fascinating.
ARNOLD-SCHWARZENEGGER-IN-PUMPING-IRON-RHINO-HOME-VIDEO: Arnold Schwarzenegger In Pumping Iron Rhino Home Video.|Same doc, Rhino release.
AROUND-THE-WORLD-IN-80-DAYS-CARTOON-CLASSIC-TALES-COLLECTION-FAMILY-HOME-ENTERTAINMENT-FHE: Around The World In 80 Days Cartoon Classic Tales Collection Family Home Entertainment Fhe.|Classic story.
ARTHURS-CHICKEN-POX: Arthurs Chicken Pox.|Arthur's a good show.
ASPEN-EXTREME: Aspen Extreme.|Ski movie. Pretty fun.
ASSASSINATION: Assassination.|Charles Bronson protects the First Lady.
ATOMIC-CYBORG: Atomic Cyborg.|Italian sci-fi. Don't expect much.
AVENGING-FORCE-CANNON-MEDIA: Avenging Force Cannon Media.|Cannon Films. Michael Dudikoff. Good stuff.
BABAR-BABAR-RETURNS: Babar Babar Returns.|Babar. The elephant. Classic kids show.
BABES-IN-TOYLAND: Babes In Toyland.|Christmas classic. Old school.
BALLBUSTER: Ballbuster.|The title says everything.
BANZAI-RUNNER: Banzai Runner.|Racing movie. Moves fast.
BARBIE-SENSATIONS-ROCKIN-BACK-TO-EARTH: Barbie Sensations Rockin Back To Earth.|It's a Barbie thing.
BARNEYS-BIRTHDAY-SING-ALONG: Barneys Birthday Sing Along.|For toddlers. I'm sure it's fine.
BARNYARD-COMMANDOS-BACK-TO-THE-FARM-HI-TOPPS-VIDEO: Barnyard Commandos Back To The Farm Hi Topps Video.|Farm animals. Commandos. Sure.
BARRIO-SIN-LEY: Barrio Sin Ley.|Spanish crime stuff.
BASKETBALL-FEVER-THE-ANIMATED-MOVIE: Basketball Fever The Animated Movie.|Animated basketball. The eighties were something.
BATMAN-SUPER-POWERS-COLLECTION: Batman Super Powers Collection.|Classic Batman cartoon. Good stuff.
BATMAN-THE-MOVIE: Batman The Movie.|The Adam West one. Campy gold.
BATTERED: Battered.|Heavy subject. Not an easy watch.
BATTLE-FOR-THE-PLANET-OF-THE-APES: Battle For The Planet Of The Apes.|Last of the original series. Decent ending.
BATTLE-OF-THE-BULLIES: Battle Of The Bullies.|Kids learning to stand up for themselves.
BATTLE-OF-THE-VALIANT: Battle Of The Valiant.|Medieval stuff. Pretty standard.
BEAST-WARS-BEASTIES-ESCAPE: Beast Wars Beasties Escape.|Transformers but animals. Kids went crazy for this.
BEASTMASTER-2: Beastmaster 2.|The Beastmaster sequel. Holds up.
BEASTMASTER-2-VERSION2: Beastmaster 2 Version2.|Same tape, different cover art.
BEAUTY-AND-THE-BEAST-FHE: Beauty And The Beast Fhe.|The knockoff version. Gets the job done.
BEAUTY-AND-THE-BEAST-UAV-HOME-VIDEO: Beauty And The Beast Uav Home Video.|Another one. There's like five of these.
BEDKNOBS-AND-BROOMSTICKS: Bedknobs And Broomsticks.|Great Disney film. Underrated.
BEETLEJUICE-CARTOON-PRINCE-OF-THE-NEITHERWORLD: Beetlejuice Cartoon Prince Of The Neitherworld.|Good cartoon. Weirder than the movie.
BEETLEJUICE-CARTOON-VOLUME-3: Beetlejuice Cartoon Volume 3.|More Beetlejuice. Never a bad thing.
BEGINNER-TO-BLACK-BELT-THE-MASTER-TEXT: Beginner To Black Belt The Master Text.|Learn karate from a VHS. Sure.
BEHIND-ENEMY-LINES: Behind Enemy Lines.|POW action stuff. Gets the job done.
BENJI: Benji.|The dog movie. I cried once. Not twice.
BETTY-BLUE: Betty Blue.|French film. Very French. Not for the kids.
Beverly-Hills-Teens-Cartoon-VHS-The-Dog-Ate-My-Homework: Beverly Hills Teens Cartoon Vhs The Dog Ate My Homework.|Not my demographic.
BEVERLY-HILLS-TEENS-THE-MAKE-OVER: Beverly Hills Teens The Make Over.|Also not my department.
BIBLEMAN-CONQUERING-THE-WRATH-OF-RAGE: Bibleman Conquering The Wrath Of Rage.|Christian superhero. Very sincere.
BIKER-MICE-FROM-MARS-THE-ADVENTURE-BEGINS: Biker Mice From Mars The Adventure Begins.|Kids are really into this one.
BLACK-BELT: Black Belt.|Karate. Straightforward.
BLACK-CAESAR: Black Caesar.|Fred Williamson in his prime.
BLACK-CAESAR-FRED-WILLIAMSON: Black Caesar Fred Williamson.|Same film, different label.
BLACK-KILLER: Black Killer.|Spaghetti western. Pretty obscure.
BLACK-NINJA: Black Ninja.|The name tells you what you need to know.
BLACK-SPOT: Black Spot.|Never heard of that one.
BLASTFIGHTER: Blastfighter.|Italian action. Michael Sopkiw. Underrated.
BLOOD-AND-GUNS: Blood And Guns.|That's pretty much what you're getting.
BLOOD-DEBTS: Blood Debts.|Filipino action. Wild stuff.
BLOOD-TIES: Blood Ties.|Never heard of it. Cover looks intense.
BLOODFIGHT: Bloodfight.|Kickboxing. Biao Yuen. Solid.
BLOODSPORT: Bloodsport.|Van Damme classic. Full contact.
BLOODY-FRIDAY: Bloody Friday.|German thriller. Very serious.
BLUFFERS-FOLLOW-THE-BIO-BRICK-ROAD: Bluffers Follow The Bio Brick Road.|I got nothing.
BMX-THE-MOVIE: Bmx The Movie.|BMX kids. Very eighties.
BONE-CHILLERS-BACK-TO-SCHOOL: Bone Chillers Back To School.|Kid horror. Pretty harmless.
BONKERS-FROM-TOON-STAR-AT-THE-TOP-TO-ZANY-ROOKIE-COP: Bonkers From Toon Star At The Top To Zany Rookie Cop.|Bonkers was an odd show.
BOOBY-TRAP: Booby Trap.|Low budget action. What it is.
BORN-INVINCIBLE: Born Invincible.|Classic kung fu. Good moves.
BORN-TO-KILL: Born To Kill.|Spaghetti crime stuff.
BOZO-THE-CLOWN-ANIMATED-CARTOONS-JUST-KEEP-LAUGHING: Bozo The Clown Animated Cartoons Just Keep Laughing.|Bozo. Man, that's old school.
BRADDOCL-MISSING-IN-ACTION-2: Braddocl Missing In Action 2.|Chuck Norris. Missing in Action series. Good stuff.
BREAK-AWAY: Break Away.|Never seen that one.
BRENDA-STARR: Brenda Starr.|Brooke Shields. Based on the comic strip.
BROTHER-FUTURE: Brother Future.|Time travel thing. Educational channel stuff.
BRUCE-LI-IN-NEW-GUINEA: Bruce Li In New Guinea.|Bruce Li. Not Bruce Lee. Different guy.
BRUCES-DEADLY-FINGERS: Bruces Deadly Fingers.|Another Bruce Lee knockoff. This era had a lot of em.
BUCKY-OHARE-THE-TOAD-MENACE: Bucky Ohare The Toad Menace.|I liked this show. Underrated.
BUGS-BUNNY-EASTER-FUNNIES: Bugs Bunny Easter Funnies.|Bugs Bunny for Easter. Makes sense.
BULLITT: Bullitt.|McQueen. The car chase. Don't need anything else.
BUMPETY-BOO-THE-MAD-MOBILE: Bumpety Boo The Mad Mobile.|Japanese cartoon. Kids like it.
BUTT-UGLY-MARTIANS-BOYZ-TO-MARTIANS: Butt Ugly Martians Boyz To Martians.|Early 2000s. Name says it all.
BUTTONS-AND-RUSTY-IN-THE-HONEY-BUNCH: Buttons And Rusty In The Honey Bunch.|Never heard of that.
CABAGE-PATCH-KIDS-THE-NEW-KID: Cabage Patch Kids The New Kid.|For the little ones.
CAGED-FURY: Caged Fury.|Women in prison. Exploitation stuff.
CANDY-CLAUS: Candy Claus.|Christmas for kids.
CANNIBAL-ATTACK-JOHNNY-WEISSMULLER: Cannibal Attack Johnny Weissmuller.|Weissmuller doing late career Tarzan knockoffs.
CAPTAIN-N-AND-THE-GAME-MASTERS-GAMEBOY: Captain N And The Game Masters Gameboy.|Nintendo cartoon. Kind of a commercial.
CAPTAIN-PLANET-AND-THE-PLANETEERS-DEADLY-GLOW: Captain Planet And The Planeteers Deadly Glow.|Captain Planet. Dated but earnest.
CAPTAIN-PLANET-AND-THE-PLANETEERS-GREENHOUSE-PLANET: Captain Planet And The Planeteers Greenhouse Planet.|Saving the planet. Noble.
CAPTAIN-PLANET-AND-THE-PLANETEERS-HATE-CANAL: Captain Planet And The Planeteers Hate Canal.|Environmental stuff for kids.
CAPTAIN-PLANET-AND-THE-PLANETEERS-OK-AT-THE-GUNFIGHT-CORRAL: Captain Planet And The Planeteers Ok At The Gunfight Corral.|Wild West episode.
CAPTAIN-PLANET-AND-THE-PLANETEERS-THE-BIG-CLAM-UP: Captain Planet And The Planeteers The Big Clam Up.|Clams. Big ones. Apparently.
CAPTAIN-POWER-AND-THE-SOLDIERS-OF-THE-FUTURE-FUTURE-FORCE-TRAINING-SKILL-LEVEL-1: Captain Power And The Soldiers Of The Future Future Force Training Skill Level 1.|The interactive one. Works with the gun toy.
CAPTAIN-POWER-AND-THE-SOLDIERS-OF-THE-FUTURE-SHATTERED-PAST: Captain Power And The Soldiers Of The Future Shattered Past.|Actually a decent show.
CAR-CRASH: Car Crash.|Self-explanatory.
CARE-BEARS-GRUMPYS-THREE-WISHES: Care Bears Grumpys Three Wishes.|Care Bears. Toddler territory.
CARE-BEARS-LOTSA-HEARTS-WISH: Care Bears Lotsa Hearts Wish.|Another Care Bears. The kids love em.
CAREBEARS-THE-CARE-A-LOT-GAMES: Carebears The Care A Lot Games.|Care Bears playing games. Sure.
CARIBE: Caribe.|Pretty obscure. Foreign thriller.
CARROTBLANCA: Carrotblanca.|Bugs Bunny doing Casablanca. Surprisingly good.
CARTOON-CHRISTMAS-WITH-RUDOLPH-AND-FRIENDS: Cartoon Christmas With Rudolph And Friends.|Classic Christmas stuff.
CARTOON-EXPLOSION-THE-HENPECKED-DUCK: Cartoon Explosion The Henpecked Duck.|Old Warner Bros shorts.
CARTOONS-R-FUN-COLLECTION-BUGS-BUNNY: Cartoons R Fun Collection Bugs Bunny.|Bugs Bunny classics. Hard to go wrong.
CARTOONS-R-FUN-COLLECTION-PORKYS-GARDEN: Cartoons R Fun Collection Porkys Garden.|Old Porky Pig stuff.
CARTOONS-R-FUN-COLLECTION-SUPERMAN-THE-MAGNETIC-TELESCOPE: Cartoons R Fun Collection Superman The Magnetic Telescope.|Classic Fleischer Superman.
CASUALTIES-OF-WAR: Casualties Of War.|De Palma. Heavy Vietnam film.
CATASTROPHE: Catastrophe.|Rough title for a Wednesday night.
CENERENTOLA: Cenerentola.|Cinderella in Italian.
CERTAIN-FURY: Certain Fury.|Tatum O'Neal. Irene Cara. Decent chase film.
CHAINS: Chains.|Action stuff. Nothing fancy.
CHARLES-BRONSON-TRIPLE-FEATURE: Charles Bronson Triple Feature.|Three Bronson films. Sold.
CHILDREN-IN-THE-CROSSFIRE: Children In The Crossfire.|Serious drama. Not a fun one.
CHINESE-CONNECTION: Chinese Connection.|Bruce Lee. The real one. Essential.
CHINESE-MECHANIC: Chinese Mechanic.|Sounds like a knockoff. Probably is.
CHIP-N-DALE-RESCUE-RANGERS-CRIME-BUSTERS: Chip N Dale Rescue Rangers Crime Busters.|Good show. Holds up.
CHIP-N-DALE-RESCUE-RANGERS-DOUBLE-TROUBLE: Chip N Dale Rescue Rangers Double Trouble.|More Chip n Dale. No complaints.
CHIP-N-DALE-RESCUE-RANGERS-UNDERCOVER-CRITTERS: Chip N Dale Rescue Rangers Undercover Critters.|The third one. Still solid.
CHOKE-CANYON: Choke Canyon.|Bo Svenson. Action in the canyon.
CHRISTMAS-CLASSIC-GIFT-WRAPPED: Christmas Classic Gift Wrapped.|Generic Christmas comp.
CHRISTMAS-CLASSICS-RUDOLPH-THE-RED-NOSED-REINDEER: Christmas Classics Rudolph The Red Nosed Reindeer.|Rudolph. Timeless.
CIRCLE-OF-FEAR: Circle Of Fear.|Never heard of it.
CITIZENS-BAND: Citizens Band.|CB radio culture. Very seventies.
CITY-IN-PANIC: City In Panic.|That title does not inspire confidence.
CITY-LIMITS: City Limits.|Post-apocalyptic biker stuff. Pretty fun actually.
CLASH-OF-THE-WARLORDS: Clash Of The Warlords.|Filipino war film. Cheap but earnest.
CLEOPATRA-JONES: Cleopatra Jones.|Blaxploitation classic. Tamara Dobson. Great.
COBRA-GHOST-OF-THE-NINJA: Cobra Ghost Of The Ninja.|One of the many ninja tapes. Gets the job done.
COBRA-NINJA-BLACKLIST: Cobra Ninja Blacklist.|See above.
COBRA-STALLONE: Cobra Stallone.|Stallone undercover. Pretty underrated.
COBRA-THUNDERBOLT: Cobra Thunderbolt.|Might be related to Stallone's Cobra. Might not.
COLD-SWEAT-CHARLES-BRONSON: Cold Sweat Charles Bronson.|Bronson in Europe. Not bad.
COMBAT-SHOCK: Combat Shock.|Dark Vietnam veteran film. Very grim.
COMBAT-SHOCK-VIDEO-ENTERTAINMENT: Combat Shock Video Entertainment.|Same tape, different sleeve.
COMMANDER-KELLIE-AND-THE-SUPERKIDS-THE-INTRUDER: Commander Kellie And The Superkids The Intruder.|Christian kids action. There's a genre for everything.
COMMANDO-SQUAD: Commando Squad.|Low budget. Gets by on enthusiasm.
COMPANY-BUSINESS-GENE-HACKMAN: Company Business Gene Hackman.|Gene Hackman spy stuff. Decent.
CONCRETE-ANGELS: Concrete Angels.|Canadian drama. Pretty good actually.
CONTACT-BLOW: Contact Blow.|Never heard of that one.
CONTAGION: Contagion.|Australian thriller. Underrated.
CONVICT-762-YORK-HOME-VIDEO: Convict 762 York Home Video.|Sci-fi prison stuff.
COP: Cop.|James Woods. Pretty intense.
COPS-CRIME-DOESNT-PAY: Cops Crime Doesnt Pay.|Educational. Cautionary. Both.
CORRIDA-DA-MORTE-ANO-2000-AKA-DEATH-RACE-2000: Corrida Da Morte Ano 2000 Aka Death Race 2000.|Death Race 2000 in Portuguese. Same movie.
COWBOYS-OF-MOO-MESA-A-SNAKE-IN-COWS-CLOTHING: Cowboys Of Moo Mesa A Snake In Cows Clothing.|Cartoon. Cow cowboys. Why not.
CRASH-AND-CRUNCH: Crash And Crunch.|Car crashes comp. Probably.
CRASHOUT: Crashout.|Fifties prison break. Old but solid.
CREATING-AN-IMAGINARY-WORLD-OF-MUG-DWELLERS-AND-WEE-FOLK: Creating An Imaginary World Of Mug Dwellers And Wee Folk.|Art instruction tape. Huh.
CROSSBONE-TERRITORY: Crossbone Territory.|Adventure stuff. Nothing special.
CRUISIN-HIGH: Cruisin High.|Seventies teen stuff.
CRY-OF-THE-BLACK-WOLVES: Cry Of The Black Wolves.|German outdoor adventure. Very earnest.
CULTOONS-VOLUME-1: Cultoons Volume 1.|Weird underground animation. Not for kids.
CULTOONS-VOLUME-2: Cultoons Volume 2.|More of that weird animation.
CUT-AND-RUN: Cut And Run.|Italian jungle action. Ruggero Deodato. Intense.
CYBER-NINJA: Cyber Ninja.|Robots. Ninjas. Japan. Makes sense.
CYBORG: Cyborg.|Van Damme. Post-apocalypse. Albert Pyun film.
D-IS-FOR-DINOSAUR: D Is For Dinosaur.|Christian educational for kids.
DAFT-A-STORY-ABOUT-DOGS-ANDROIDS-FIREMEN-AND-TOMATOES: Daft A Story About Dogs Androids Firemen And Tomatoes.|I have no idea what this is.
DAMNATION-ALLEY: Damnation Alley.|Post-apocalypse. Jan-Michael Vincent. Fun mess.
DAMNED-RIVER: Damned River.|Never heard of it.
DANCE-WORKOUT-WITH-BARBIE: Dance Workout With Barbie.|Dance along with Barbie.
DANGEROUS-ORPHANS: Dangerous Orphans.|New Zealand crime thriller.
DARK-AGE: Dark Age.|Australian croc movie. Surprisingly good.
DARK-DAY-EXPRESS: Dark Day Express.|Never heard of that one.
DARKMAN-2-THE-RETURN-OF-DURANT-BEHIND-THE-SCENES: Darkman 2 The Return Of Durant Behind The Scenes.|Behind the scenes of Darkman 2. Niche.
DAVID-CARRADINES-TAI-CHI: David Carradines Tai Chi.|David Carradine teaches tai chi. Pretty peaceful for him.
DAVY-CROCKETT-AND-THE-RIVER-PIRATES-WALT-DISNEY-HOME-VIDEO: Davy Crockett And The River Pirates Walt Disney Home Video.|Classic Disney. Fess Parker.
DAY-OF-THE-ANIMAL: Day Of The Animal.|Nature attacks. Christopher George. Pretty fun.
DEADLY-BUSINESS: Deadly Business.|Crime drama. Decent.
DEADLY-DUO: Deadly Duo.|Two against the world. Classic setup.
DEADLY-PREY: Deadly Prey.|The most eighties action movie ever made.
DEADLY-TARGET: Deadly Target.|Gary Daniels. Direct-to-video stuff.
DEADLY-VOYAGE: Deadly Voyage.|Omar Epps. True story. Heavy.
DEATH-BEFORE-DISHONOR: Death Before Dishonor.|Marines action. Fred Dryer.
DEATH-BEFORE-THE-SMILE: Death Before The Smile.|Never heard of that one.
DEATH-CAGE: Death Cage.|Fighter cage match stuff.
DEATH-MASK-OF-THE-NINJA: Death Mask Of The Ninja.|Another ninja tape. Fine.
DEATH-WARRANT-VAN-DAMME: Death Warrant Van Damme.|Van Damme in prison. Pretty solid.
DEATH-WISH: Death Wish.|Bronson at his best. The original revenge movie.
DEATH-WISH-2: Death Wish 2.|Darker than the first one. Rough.
DEATH-WISH-3: Death Wish 3.|Gets ridiculous. In a good way.
DEATH-WISH-3-CHARLES-BRONSON: Death Wish 3 Charles Bronson.|Same tape. Bronson on the cover.
DEATH-WISH-4-THE-CRACKDOWN: Death Wish 4 The Crackdown.|Still going. Still Bronson.
DEATHDREAM-MAC-VIDEO: Deathdream Mac Video.|Bob Clark zombie Vietnam vet film. Very underrated.
DEATHDREAM: Deathdream.|Same film. Classic label.
DEATHLINE: Deathline.|British horror. Donald Pleasence. Very raw.
DEATHSTALKER-3: Deathstalker 3.|Third one. They made four. You figure out the quality curve.
DEFCON-4: Defcon 4.|Canadian nuclear war film. Decent tension.
DEFENSE-PLAY: Defense Play.|Low budget spy stuff.
DENVER-THE-LAST-DINOSAUR-DENVER-AND-THE-TIME-MACHINE: Denver The Last Dinosaur Denver And The Time Machine.|Kids liked Denver.
DENVER-THE-LAST-DINOSAUR-DENVER-CHIPS-N-ROBBERS: Denver The Last Dinosaur Denver Chips N Robbers.|More Denver adventures.
DENVER-THE-LAST-DINOSAUR-RIDE-EM-DENVER: Denver The Last Dinosaur Ride Em Denver.|They made a lot of these.
DESTROYER: Destroyer.|Lyle Alzado. Wrestler turned actor.
DETROIT-9000: Detroit 9000.|Blaxploitation. Detroit. Dirty cop stuff.
DIAMONDS: Diamonds.|Robert Shaw. Pretty good caper film.
DIE-REBELLEN: Die Rebellen.|German action. Never seen it.
DINK-THE-LITTLE-DINOSAUR-SKY-IS-FALLING-AT-GREEN-MEADOW: Dink The Little Dinosaur Sky Is Falling At Green Meadow.|Little dinosaur kids show.
DINO-RIDERS-THE-DINO-RIDERS-ADVENTURE: Dino Riders The Dino Riders Adventure.|Dinosaurs with laser guns. Brilliant.
DINO-RIDERS-THE-DINO-RIDERS-ADVENTURE-VOLUME-1: Dino Riders The Dino Riders Adventure Volume 1.|First volume. Start here.
DINOSAURS-A-FUN-FILLED-TRIP-BACK-IN-TIME: Dinosaurs A Fun Filled Trip Back In Time.|Educational dino stuff.
DINOSAURS-ENDANGERED-SPECIES: Dinosaurs Endangered Species.|Dino documentary type thing.
DINOSAURS-MIGHTY-MEGALOSAURUS: Dinosaurs Mighty Megalosaurus.|More dino education.
DINOSAURS-SINCLAIR-FAMILY-CHRISTMAS: Dinosaurs Sinclair Family Christmas.|The sitcom Christmas episode. Classic.
DISNEYS-GREATEST-LULLABIES-VOLUME-ONE-WALT-DISNEY-HOME-VIDEO: Disneys Greatest Lullabies Volume One Walt Disney Home Video.|For bedtime.
DISNEYS-TALESPIN-WISE-UP: Disneys Talespin Wise Up.|TaleSpin. Baloo the bear flies a plane. It works.
DISTANT-THUNDER-JOHN-LITHGOW-RALPH-MACCHIO: Distant Thunder John Lithgow Ralph Macchio.|Vietnam vet drama. Solid performances.
DIXIE-DYNAMITE: Dixie Dynamite.|Seventies action. Redneck car chases. Fun.
DOC-SAVAGE-THE-MAN-OF-BRONZE: Doc Savage The Man Of Bronze.|Ron Ely. Cheesy but affectionate.
DOGFIGHT-VIDEO-ORDNANCE: Dogfight Video Ordnance.|Military stuff. Never seen it.
DONT-TRUST-THE-MAFFIA: Dont Trust The Maffia.|Good advice honestly.
DOOOGS-GARAGE-THEATER-VULUME-1: Dooogs Garage Theater Vulume 1.|What is this. What is this.
DOT-AND-THE-SMUGGLERS: Dot And The Smugglers.|Australian animated. Those Dot films are weird.
DOUBLE+TARGET: Double+Target.|Italian action. Double the targets.
DOUG-CHRISTMAS-STORY: Doug Christmas Story.|Doug's Christmas special. Sweet show.
DOUG-SLAM-DUNK-DOUG: Doug Slam Dunk Doug.|Doug plays basketball. Sure.
DR-SEUSS-GRINCH-NIGHT: Dr Seuss Grinch Night.|The Grinch comes back. A sequel.
DR-SEUSS-THE-CAT-IN-THE-HAT-GETS-GRINCHED: Dr Seuss The Cat In The Hat Gets Grinched.|Two Seuss characters meet. Interesting crossover.
DR-SEUSS-THE-LORAX: Dr Seuss The Lorax.|The Lorax. Timeless.
DR-SEUSSS-ABC: Dr Seusss Abc.|Dr. Seuss teaches the alphabet.
